pub_date,web_url;headline
2010-11-09T00:00:00Z;http://www.nytimes.com/2010/11/09/world/asia/09myanmar.html;Myanmar Refugees Spilling into Thailand
2010-11-09T00:00:00Z;http://www.nytimes.com/2010/11/09/world/africa/09morocco.html;Morocco Raids Protest Camp in Territory Under Dispute
2010-11-11T00:00:00Z;http://www.nytimes.com/2010/11/11/giving/11CELEB.html;Putting Star Power Behind Good Works
2010-11-12T00:00:00Z;http://www.nytimes.com/2010/11/12/world/africa/12dadaab.html;Somalia's Wars Swell a Refugee Camp in Kenya
2010-11-13T11:14:59Z;http://www.nytimes.com/video/nyregion/1248069319591/the-neediest-cases-finding-a-new-home.html;The Neediest Cases | Finding a New Home
2010-11-21T00:00:00Z;http://www.nytimes.com/2010/11/21/us/21lost.html;Lost Boys of Sudan Fill in the Blanks of Their Past
2010-11-25T00:00:00Z;http://www.nytimes.com/2010/11/25/nyregion/25nychaiti.html;Suffering, Haitians Turn to Charismatic Prayer
2010-11-26T00:00:00Z;http://www.nytimes.com/2010/11/26/world/americas/26briefs-Refugee.html;Canada: Asylum Overturned for White South African
2010-11-27T00:00:00Z;http://www.nytimes.com/2010/11/27/world/middleeast/27refugees.html;Iraq's Troubles Drive Out Refugees Who Came Back
2010-12-02T00:00:00Z;http://www.nytimes.com/2010/12/02/world/americas/02venez.html;Chávez Opens His Palace to Flood Victims
2010-12-12T00:00:00Z;http://www.nytimes.com/slideshow/2010/12/12/world/12Iraq.html;Christians in Iraq
2010-12-12T19:51:17Z;http://www.nytimes.com/video/world/middleeast/1248069435923/iraq-christians-on-the-run.html;Iraq: Christians on the Run
2010-12-13T00:00:00Z;http://www.nytimes.com/2010/12/13/world/middleeast/13iraq.html;More Christians Flee Iraq After New Violence
2010-12-13T03:38:42Z;http://atwar.blogs.nytimes.com/2010/12/13/iraq-christians-on-the-run/,Iraq: Christians on the Run
2010-12-18T00:00:00Z;http://www.nytimes.com/2010/12/18/opinion/18sat3.html;Cholera and Haiti
2010-12-28T04:25:52Z;http://atwar.blogs.nytimes.com/2010/12/28/displacement-and-despair-a-dangerous-combination/,Displacement and Despair, a Dangerous Combination
2011-01-01T00:00:00Z;http://www.nytimes.com/2011/01/01/nyregion/01bhutan.html;A Building, and a City, as a Way Station to a Better Life
2011-01-04T00:00:00Z;http://www.nytimes.com/2011/01/04/world/middleeast/04yemen.html;Africans Drown Trying to Reach Yemen on Rough Seas
2011-01-04T00:00:00Z;http://www.nytimes.com/2011/01/04/world/americas/04haiti.html;A Year Later, Haiti Struggles Back
2011-01-05T00:00:00Z;http://www.nytimes.com/2011/01/05/opinion/05wed4.html;A New, Safer Life
2011-01-08T00:00:00Z;http://www.nytimes.com/2011/01/08/world/africa/08somalia.html;Under Siege in War-Torn Somalia, a Doctor Holds Her Ground
2011-01-10T00:00:00Z;http://www.nytimes.com/2011/01/10/world/africa/10nashville.html;Sudanese Expatriates Across the U.S. Cast Their Votes
2011-01-15T00:00:00Z;http://www.nytimes.com/2011/01/15/opinion/15sat1.html;Haiti, Going Forward
2011-01-15T00:00:00Z;http://www.nytimes.com/2011/01/15/opinion/l15sudan.html;Looking to the Future in Sudan
2011-01-18T00:00:00Z;http://www.nytimes.com/2011/01/18/opinion/l18iraq.html;helping Iraqi Christians
2011-01-20T00:00:00Z;http://www.nytimes.com/2011/01/20/opinion/l20haiti.html;Haiti's Children
2011-01-21T00:00:00Z;http://www.nytimes.com/2011/01/21/world/americas/21briefs-Canada.html;Canada: National Role Acknowledged in Turning Back Refugees' Ship
2011-01-25T00:00:00Z;http://www.nytimes.com/2011/01/25/opinion/l25haiti.html;As Haiti Recovers: A Report From the Field
2011-01-26T00:00:00Z;http://www.nytimes.com/2011/01/26/world/middleeast/26mideast.html;Documents Open a Door on Mideast Peace Talks
2011-02-04T00:00:00Z;http://www.nytimes.com/2011/02/04/nyregion/04nyc.html;Inventing a New Life, Yet Again
2011-02-08T00:00:00Z;http://www.nytimes.com/2011/02/08/business/media/08adco.html;Groupon Ad on Super Bowl Rated a Miss by Many Fans
2011-02-11T00:00:00Z;http://www.nytimes.com/2011/02/11/world/middleeast/11baghdad.html;Iraq Tells Refugees in Egypt and Yemen: We'll Pay You to Return
2011-02-12T00:00:00Z;http://www.nytimes.com/2011/02/12/world/europe/12briefs-Italy.html;Italy: Tunisian Refugees Arrive
2011-02-24T00:00:00Z;http://www.nytimes.com/2011/02/24/world/africa/24evacuate.html;United States and Other Nations Step Up Libyan Evacuations
2011-02-25T00:00:00Z;http://www.nytimes.com/2011/02/25/world/africa/25evacuate.html;Amid Exodus From Libya, Europe Braces for Refugees
2011-02-26T00:00:00Z;http://www.nytimes.com/2011/02/26/world/africa/26evacuate.html;American Ferry From Libya Arrives in Malta
2011-03-01T00:00:00Z;http://www.nytimes.com/2011/03/01/world/europe/01refugee.html;Refugee Agency Reports 'Humanitarian Emergency' as Multitudes Flee Libya
2011-03-02T00:00:00Z;http://www.nytimes.com/2011/03/02/world/europe/02refugee.html;Fleeing Migrant Workers Pile Up at Libya's Borders
2011-03-03T00:00:00Z;http://www.nytimes.com/2011/03/03/world/africa/03refugee.html;Migrant Workers Pile Up at Libya's Borders
2011-03-04T00:00:00Z;http://www.nytimes.com/2011/03/04/world/africa/04refugee.html;Libyan Refugee Crisis Called a 'Logistical Nightmare'
2011-03-04T00:00:00Z;http://www.nytimes.com/2011/03/04/world/africa/04president.html;Obama Tells Qaddafi to Quit and Authorizes Refugee Airlifts
2011-03-05T00:00:00Z;http://www.nytimes.com/2011/03/05/world/africa/05refugee.html;Flood of Fleeing Migrants Eases at Tunisian Border Crossing
2011-03-07T11:39:58Z;http://dotearth.blogs.nytimes.com/2011/03/07/orbiting-eyes-capture-sudan-village-destruction/,Orbiting Eyes Capture Sudan Village Destruction
2011-03-08T00:00:00Z;http://www.nytimes.com/2011/03/08/world/middleeast/08refugees.html;Libyan War Traps Poor Immigrants at Tripoli's Edge
2011-03-10T00:00:00Z;http://www.nytimes.com/2011/03/10/world/africa/10migrants.html;Many Refugees From Libya Don't Want to Go Home
2011-03-13T00:00:00Z;http://www.nytimes.com/interactive/2011/03/13/magazine/look-scenes-from-libyan-exodus.html;Scenes From the Libyan Exodus
2011-03-13T00:00:00Z;http://www.nytimes.com/slideshow/2011/03/13/magazine/tunisia-libya.html;Scenes From the Libyan Exodus
2011-03-16T12:14:52Z;http://www.nytimes.com/video/world/asia/100000000728495/tc-031611-fackler.html;TimesCast | Life in the Refugee Centers
2011-03-17T00:00:00Z;http://www.nytimes.com/2011/03/17/world/asia/17cope.html;Misery and Uncertainty Fill Up Shelters
2011-03-19T00:00:00Z;http://www.nytimes.com/2011/03/19/world/asia/19search.html;Food, Fuel and Medicine Run Short in Shelters
2011-03-19T00:00:00Z;http://www.nytimes.com/2011/03/19/world/asia/19stranded.html;In Japan's Danger Zone, the Stranded Await the Merciful
2011-03-24T00:00:00Z;http://www.nytimes.com/2011/03/24/world/asia/24isolated.html;Severed From the World, Villagers Survive on Tight Bonds and To-Do Lists
2011-03-24T00:00:00Z;http://www.nytimes.com/2011/03/24/garden/24qna.html;Shigeru Ban on Designing Shelters for the Quake Victims
2011-03-26T00:00:00Z;http://www.nytimes.com/2011/03/26/world/africa/26ivory-coast.html;Hundreds of Thousands Flee Ivory Coast Crisis, U.N. Says
2011-03-26T00:00:00Z;http://www.nytimes.com/2011/03/26/world/asia/26refugees.html;Newly Homeless in Japan Re-Establish Order Amid Chaos
2011-03-27T00:00:00Z;http://www.nytimes.com/slideshow/2011/03/27/world/20110327_JAPAN.html;Searching, Waiting and Mourning in Japan
2011-03-28T00:00:00Z;http://www.nytimes.com/2011/03/28/world/28asylum.html;U.N. Reports Marked Drop in Asylum Seekers in West
2011-03-29T00:00:00Z;http://www.nytimes.com/2011/03/29/world/europe/29webbrfs-Italy.html;Italy: Tunisians to Be Shipped Off Island
2011-03-31T00:00:00Z;http://www.nytimes.com/2011/03/31/world/europe/31italy.html;Fleeing North Africa and Landing in an Italian Limbo
2011-03-31T00:00:00Z;http://www.nytimes.com/slideshow/2011/03/31/world/europe/31italy.html;Italy's Refuge of Last Resort
2011-04-01T00:00:00Z;http://www.nytimes.com/2011/04/01/world/africa/01liberia.html;Liberia Uneasily Linked to Ivory Coast Conflict
2011-04-02T00:00:00Z;http://www.nytimes.com/2011/04/02/world/europe/02briefs-Italy.html;Italy: Hundreds Flee Migrant Camp
2011-04-03T00:00:00Z;http://www.nytimes.com/2011/04/03/books/review/book-review-the-free-world-by-david-bezmozgis.html;Jewish Refugees in the Eternal City
2011-04-03T00:00:00Z;http://www.nytimes.com/2011/04/03/books/review/book-review-the-long-road-home-by-ben-shephard.html;helping Refugees After World War II
2011-04-04T00:00:00Z;http://www.nytimes.com/2011/04/04/opinion/04mon2.html;An Epidemic of Rape for Haiti's Displaced
2011-04-05T00:00:00Z;http://www.nytimes.com/2011/04/05/world/africa/05tunisia.html;Tunis to Allow Italy to Help Patrol Coast
2011-04-15T00:00:00Z;http://www.nytimes.com/2011/04/15/world/africa/15libya.html;Libyan Port City Is Filled With Migrants Desperate to Exit
2011-04-19T00:00:00Z;http://www.nytimes.com/slideshow/2011/04/19/world/africa/20110419-EVACUEES.html;Migrant Workers Evacuated From Libya
2011-04-19T00:00:00Z;http://www.nytimes.com/interactive/2011/04/19/world/africa/20110419-EVACUEES-BIG.html;Migrant Workers Evacuated From Libya
2011-04-24T00:00:00Z;http://www.nytimes.com/2011/04/24/world/americas/24haiti.html;haitians Forced Out of Tents to Homes Just as Precarious
2011-04-29T00:00:00Z;http://www.nytimes.com/2011/04/29/world/africa/29refugees.html;Thousands Fleeing Qaddafi Bask in Tunisia's Hospitality
2011-05-10T00:00:00Z;http://www.nytimes.com/2011/05/10/world/africa/10migrants.html;U.N. Urges Ships to Help Migrants in Mediterranean
2011-05-11T00:00:00Z;http://www.nytimes.com/2011/05/11/world/asia/11school.html;Town Torn by Tsunami Sees Reopened School as a Therapeutic Step
2011-05-11T00:00:00Z;http://www.nytimes.com/2011/05/11/opinion/11wed3.html;haiti's Continuing Cholera Outbreak
2011-05-14T00:00:00Z;http://www.nytimes.com/2011/05/14/world/europe/14refugees.html;Libyan Immigrants Becoming Italian Immigrants
2011-05-19T00:00:00Z;http://www.nytimes.com/2011/05/19/opinion/19lucht.html;The Killing Seas
2011-05-20T18:00:35Z;http://lens.blogs.nytimes.com/2011/05/20/ruth-gruber-from-exodus-to-ethiopia/,Ruth Gruber, From Exodus to Ethiopia
2011-05-24T05:00:02Z;http://lens.blogs.nytimes.com/2011/05/24/in-transit-to-a-home-that-isnt-there/,In Transit to a Home That Isn't There
2011-06-01T00:00:00Z;http://www.nytimes.com/2011/06/01/world/americas/01haiti.html;U.S. Reduces Estimates of Homeless in Haiti Quake
2011-06-03T00:00:00Z;http://www.nytimes.com/2011/06/03/world/europe/03refugees.html;270 Migrants Are Missing After Accident Off Tunisia
2011-06-03T10:21:44Z;http://thelede.blogs.nytimes.com/2011/06/03/libyan-dissident-says-she-was-beaten-in-qatar-during-forced-deportation/,Libyan Dissident Says She Was Beaten in Qatar During Forced Deportation
2011-06-04T00:00:00Z;http://www.nytimes.com/2011/06/04/world/asia/04briefs-Australia.html;Plan to Deport Child Refugees Draws Criticism From U.N.
2011-06-05T00:00:00Z;http://www.nytimes.com/slideshow/2011/06/05/world/africa/20110605SUDAN.html;Displaced in Sudan
2011-06-09T00:00:00Z;http://www.nytimes.com/2011/06/09/world/middleeast/09syria.html;Syrians Flee to Turkey, Telling of Gunmen Attacking Protesters
2011-06-10T00:00:00Z;http://www.nytimes.com/2011/06/10/world/middleeast/10syria.html;Fearing Assault, More Syrians Flee Into Turkey
2011-06-09T17:26:43Z;http://www.nytimes.com/video/world/middleeast/100000000857478/timescast--syrians-flee-to-turkey.html;TimesCast | Syrians Flee to Turkey
2011-06-10T21:33:14Z;http://www.nytimes.com/video/world/middleeast/100000000859503/timecast--syrian-unrest.html;TimesCast | Syrian Unrest
2011-06-11T00:00:00Z;http://www.nytimes.com/2011/06/11/world/middleeast/11syria.html;Syrian Forces Storm Into Restive Town Near Turkey
2011-06-12T00:00:00Z;http://www.nytimes.com/2011/06/12/opinion/12Caldwell.html;Europe's Arizona Problem
2011-06-13T16:52:11Z;http://www.nytimes.com/video/world/middleeast/100000000862611/timescast--sectarian-tensions-grow.html;TimesCast | Sectarian Tensions Grow
2011-06-14T00:00:00Z;http://www.nytimes.com/2011/06/14/world/europe/14turkey.html;Turkey Scrambles to Accommodate Syrian Refugees
2011-06-14T18:26:11Z;http://www.nytimes.com/video/world/middleeast/100000000864549/timescast--surviving-inside-syria.html;TimesCast | Surviving Inside Syria
2011-06-15T00:00:00Z;http://www.nytimes.com/2011/06/15/world/middleeast/15syria.html;Fleeing Syrians Take Refuge Along Border With Turkey
